Date,vnindex_price,vnindex_return
2023-10-23,1093.53,-1.3172668170216522
2023-10-24,1105.9,1.1248487498570718
2023-10-25,1101.66,-0.38413499191637085
2023-10-26,1055.45,-4.285091691007114
2023-10-27,1060.62,0.488642652376712
2023-10-30,1042.4,-1.7327895965211164
2023-10-31,1028.19,-1.3725771970819363
2023-11-01,1039.66,1.1093761767680133
2023-11-02,1075.47,3.386403870845401
2023-11-03,1076.78,0.12173308507593536
2023-11-06,1089.66,1.189061479175239
2023-11-07,1080.29,-0.8636197366323449
2023-11-08,1113.43,3.021581728861407
2023-11-09,1113.89,0.041305246353490886
2023-11-10,1101.68,-1.1022105925417038
2023-11-13,1100.07,-0.14624732934797652
2023-11-14,1109.73,0.8742928349309872
2023-11-15,1122.5,1.1441598141708758
2023-11-16,1125.53,0.2695695195224218
2023-11-17,1101.19,-2.186262258695641
2023-11-20,1103.66,0.22405161650591865
2023-11-21,1110.46,0.614241448512096
2023-11-22,1113.82,0.30212046646548707
2023-11-23,1088.49,-2.3004133861634792
2023-11-24,1095.61,0.6519871088157042
2023-11-27,1088.06,-0.6914991811866035
2023-11-28,1095.43,0.6750686276225651
2023-11-29,1102.8,0.6705419919247732
2023-11-30,1094.13,-0.7892873245719569
2023-12-01,1102.16,0.7312363832421603
2023-12-04,1120.49,1.6494198877575719
2023-12-05,1115.97,-0.4042107754413259
2023-12-06,1126.43,0.932935771233317
2023-12-07,1121.49,-0.43951812808437263
2023-12-08,1124.44,0.26269756372601527
2023-12-11,1125.5,0.094224741853112
2023-12-12,1127.63,0.1890703718400668
2023-12-13,1114.2,-1.1981426478472483
2023-12-14,1110.13,-0.36595330208922
2023-12-15,1102.3,-0.7078219596553119
2023-12-18,1091.88,-0.9497924812669941
2023-12-19,1096.3,0.4039892523894466
2023-12-20,1100.76,0.40599766290701994
2023-12-21,1102.43,0.15159839322380972
2023-12-22,1103.06,0.05713016310526359
2023-12-25,1117.66,1.3149078099839049
2023-12-26,1122.25,0.4098384689347155
2023-12-27,1121.99,-0.02317042750892946
2023-12-28,1128.93,0.6166387069041314
2023-12-29,1129.93,0.08854024289493212
2024-01-02,1131.72,0.1582915458850962
2024-01-03,1144.17,1.094088395445672
2024-01-04,1150.72,0.5708350104895462
2024-01-05,1154.68,0.34354158885108044
2024-01-08,1160.19,0.4760535499575911
2024-01-09,1158.59,-0.13800362724652007
2024-01-10,1161.54,0.2542962325145443
2024-01-11,1162.22,0.058525839106444044
2024-01-12,1154.7,-0.6491399277167327
2024-01-15,1154.12,-0.05024211607667616
2024-01-16,1163.12,0.7767900826126639
2024-01-17,1162.53,-0.05073850430265768
2024-01-18,1169.06,0.5601342494384376
2024-01-19,1181.5,1.0584810552434751
2024-01-22,1182.86,0.11504171530495357
2024-01-23,1177.5,-0.4541687889439131
2024-01-24,1172.97,-0.38545530117249877
2024-01-25,1170.37,-0.2219055763919793
2024-01-26,1175.67,0.45182597197632113
2024-01-29,1175.69,0.0017011431682565617
2024-01-30,1179.65,0.3362575026348476
2024-01-31,1164.31,-1.3089147434965525
2024-02-01,1173.02,0.7452982948744185
2024-02-02,1172.55,-0.040075547205189015
