Date,Open,High,Low,btc_price,Adj Close,Volume,day_gap,usdvnd_rate,fx_observed,usdvnd_rate_used,btc_vnd_price,btc_return,btc_usd_return,fx_filled
2025-05-06,94748.3828125,96889.1796875,93399.859375,96802.4765625,96802.4765625,26551275827.0,1.0,25942.0,True,25942.0,2511249846.984375,1.998753120549983,2.145126552947202,False
2025-05-07,96800.1953125,97625.8046875,95829.3359375,97032.3203125,97032.3203125,76983822462.0,1.0,25948.0,True,25948.0,2517794647.46875,0.26028022565516873,0.23715438242239512,False
2025-05-08,97034.25,103969.5390625,96913.875,103241.4609375,103241.4609375,69895404397.0,1.0,25953.0,True,25953.0,2679425635.7109375,6.2219078049283425,6.2026403533745516,False
2025-05-09,103239.125,104297.4921875,102343.09375,102970.8515625,102970.8515625,58198593958.0,1.0,25959.0,True,25959.0,2673020335.7109375,-0.23934115699200806,-0.2624571996284568,False
2025-05-10,102973.7109375,104961.765625,102830.484375,104696.328125,104696.328125,42276713994.0,1.0,,False,25959.0,2717811981.796875,1.6618093181868365,1.6618093181868365,True
2025-05-11,104701.0703125,104937.9921875,103364.7421875,104106.359375,104106.359375,46285517406.0,1.0,,False,25959.0,2702496983.015625,-0.5650983970075977,-0.5650983970075977,True
2025-05-12,104106.9609375,105747.453125,100814.40625,102812.953125,102812.953125,63250475404.0,1.0,25952.0,True,25952.0,2668201759.5,-1.2771406966979677,-1.2501714607270615,False
2025-05-13,102812.4921875,104997.421875,101515.09375,104169.8125,104169.8125,52608876410.0,1.0,25960.0,True,25960.0,2704248332.5,1.3419245710410814,1.3111031807523907,False
2025-05-14,104167.328125,104303.5625,102618.296875,103539.4140625,103539.4140625,45956071155.0,1.0,25951.0,True,25951.0,2686951334.3359375,-0.6416774960404921,-0.6070027639406428,False
2025-05-15,103538.828125,104153.6171875,101440.8125,103744.640625,103744.640625,50408241840.0,1.0,25924.0,True,25924.0,2689476063.5625,0.09391847877017964,0.19801487371228355,False
2025-05-16,103735.65625,104533.484375,103137.4765625,103489.2890625,103489.2890625,44386499364.0,1.0,25920.0,True,25920.0,2682442372.5,-0.2618690200046645,-0.2464381118651062,False
2025-05-17,103489.2890625,103716.9453125,102659.1796875,103191.0859375,103191.0859375,37898552742.0,1.0,,False,25920.0,2674712947.5,-0.28856472892223484,-0.28856472892223484,True
2025-05-18,103186.953125,106597.171875,103142.6015625,106446.0078125,106446.0078125,49887082058.0,1.0,,False,25920.0,2759080522.5,3.1055414958406478,3.1055414958406478,True
2025-05-19,106430.53125,107068.71875,102112.6875,105606.1796875,105606.1796875,61761126647.0,1.0,25917.0,True,25917.0,2736995358.9609375,-0.8036745811863755,-0.7920998372646527,False
2025-05-20,105605.40625,107307.1171875,104206.515625,106791.0859375,106791.0859375,36515726122.0,1.0,25932.0,True,25932.0,2769306440.53125,1.173617197796919,1.1157568710076757,False
2025-05-21,106791.3125,110724.4609375,106127.234375,109678.078125,109678.078125,78086364051.0,1.0,25950.0,True,25950.0,2846146127.34375,2.736893679602452,2.6675054496876065,False
2025-05-22,109673.4921875,111970.171875,109285.0703125,111673.28125,111673.28125,70157575642.0,1.0,25950.0,True,25950.0,2897921648.4375,1.802796394236439,1.802796394236439,False
2025-05-23,111679.359375,111798.90625,106841.3046875,107287.796875,107287.796875,67548133399.0,1.0,25973.0,True,25973.0,2786585948.234375,-3.91766350426392,-4.006256233899459,False
2025-05-24,107278.5078125,109454.5234375,106895.2890625,107791.15625,107791.15625,45903627163.0,1.0,,False,25973.0,2799659701.28125,0.4680702474076876,0.4680702474076876,True
2025-05-25,107802.2734375,109313.3046875,106683.375,109035.390625,109035.390625,47518041841.0,1.0,,False,25973.0,2831976200.703125,1.1476897551184373,1.1476897551184373,True
2025-05-26,109023.78125,110376.8828125,108735.640625,109440.3671875,109440.3671875,45950461571.0,1.0,25946.0,True,25946.0,2839539767.046875,0.26672130945972433,0.3707294854029425,False
